item,telas,técnica,dimensão,ano,valor (r$),valor_pix,parcelamento,categoria,op_parcelamento,link_mp
27,PROTÓTIPO FUSCA/ COM MOLDURA,NANQUIM SOBRE PAPEL,36 X 43,1988,600.0,"  570,00 ",5% À VISTA/ 2 VEZES,AEROGRAFIAS,2,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-c7d1132d-9d60-4dbd-bb47-38c32adcb577
28,TORSO/ COM MOLDURA,NANQUIM SOBRE PAPEL,43 X 36,1988,600.0,"  570,00 ",5% À VISTA/ 2 VEZES,AEROGRAFIAS,2,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-b4bfbfc7-332e-4751-b13a-f800527687f3
29,ATLETA,NANQUIM SOBRE PAPEL,"20,5 X 25",1988,350.0,"  332,50 ",5% À VISTA/ 2 VEZES,AEROGRAFIAS,2,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-4f82f515-96ce-401e-8a89-49bc6c62ef08
30,CARTÃO POSTAL,NANQUIM SOBRE PAPEL,"20,5 X 25",1988,350.0,"  332,50 ",5% À VISTA/ 2 VEZES,AEROGRAFIAS,2,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-126b1afd-6b95-47cd-9d10-1723a528f48c
31,STRESS URBANO,LÁPIS E CANETA S/PAPEL,"21 X 29,7",2014,350.0,"  332,50 ",5% À VISTA/ 2 VEZES,DESENHOS / AQUARELAS,2,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-9571c6d9-60f0-43cd-b028-8d6176278440
32,STREET DANCE 2,GRAFITE SOBRE PAPEL,"29,7 x 42",2014,350.0,"  332,50 ",5% À VISTA/ 2 VEZES,DESENHOS / AQUARELAS,2,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-d6ad0d02-5dcc-4a5b-b826-3029e9f3e2fa
33,SEM GÁS,GRAFITE SOBRE PAPEL,"29,7 x 42",2014,350.0,"  332,50 ",5% À VISTA/ 2 VEZES,DESENHOS / AQUARELAS,2,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-ea53806d-cc06-47a3-8312-541936cf771f
34,MERGULHO 1,CANETA SOBRE PAPEL,"21 X 29,7",1984,350.0,"  332,50 ",5% À VISTA/ 2 VEZES,DESENHOS / AQUARELAS,2,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-d959f998-d589-4dc8-9e36-e23b88c0f447
35,MERGULHO 2,TINTA LÍQUIDA SOBRE PAPEL,"29,7 x 42",2025,350.0,"  332,50 ",5% À VISTA/ 2 VEZES,DESENHOS / AQUARELAS,2,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-c0d0db5e-3fb5-4ec4-8ba0-ae4dcd654213
36,MERGULHO 3,TINTA LÍQUIDA SOBRE PAPEL,"21 X 29,7",2021,350.0,"  332,50 ",5% À VISTA/ 2 VEZES,DESENHOS / AQUARELAS,2,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-3ca4d687-ea6a-4ff6-a11c-52e50b46a06c
37,MERGULHO 4,TINTA LÍQUIDA SOBRE PAPEL,"21 X 29,7",2021,350.0,"  332,50 ",5% À VISTA/ 2 VEZES,DESENHOS / AQUARELAS,2,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-77fc8ca7-8182-4b87-bd2c-2ab58635448b
38,MERGULHO 5,TINTA LÍQUIDA SOBRE PAPEL,"21 X 29,7",2025,350.0,"  332,50 ",5% À VISTA/ 2 VEZES,DESENHOS / AQUARELAS,2,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-17834702-bdb4-48ff-8731-fd8b737fef54
39,MERGULHO 6,TINTA LÍQUIDA SOBRE PAPEL," 29,7 X 21",2025,350.0,"  332,50 ",5% À VISTA/ 2 VEZES,DESENHOS / AQUARELAS,2,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-2279850e-dfb0-4287-9214-da4afeedb259
40,MERGULHO 7,TINTA LÍQUIDA SOBRE PAPEL,"29,7 x 42",2021,350.0,"  332,50 ",5% À VISTA/ 2 VEZES,DESENHOS / AQUARELAS,2,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-c6e0756f-d511-484a-b629-fda826189325
41,BIKE 1,FIO DE COBRE DESENCAPADO,BASE MADEIRA  10X20,2025,250.0,"  237,50 ",5% À VISTA/ 2 VEZES,DOBRADURAS FIO DE COBRE,2,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-2bd1d773-bb3b-47ec-ab1d-d4e08ece7ad2
42,CAPOEIRA 1,FIO DE COBRE DESENCAPADO,BASE MADEIRA  10X20,2025,250.0,"  237,50 ",5% À VISTA/ 2 VEZES,DOBRADURAS FIO DE COBRE,2,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-4a9b2053-bfd5-4ef9-89b7-1f1d39920462
43,CAPOEIRA 2,FIO DE COBRE DESENCAPADO,BASE MADEIRA  10X20,2025,250.0,"  237,50 ",5% À VISTA/ 2 VEZES,DOBRADURAS FIO DE COBRE,2,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-457634d3-7861-47b1-bde9-63ccdad8b630
44,DANÇA 1,FIO DE COBRE DESENCAPADO,BASE MADEIRA  10X20,2025,250.0,"  237,50 ",5% À VISTA/ 2 VEZES,DOBRADURAS FIO DE COBRE,2,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-6c056fdb-98a6-49d2-a631-fb58612fb500
45,DANÇA 2,FIO DE COBRE DESENCAPADO,BASE MADEIRA  10X20,2025,250.0,"  237,50 ",5% À VISTA/ 2 VEZES,DOBRADURAS FIO DE COBRE,2,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-33ecb330-96de-4692-b28a-35188f337480
46,DANÇA 3,FIO DE COBRE DESENCAPADO,BASE MADEIRA  10X20,2025,250.0,"  237,50 ",5% À VISTA/ 2 VEZES,DOBRADURAS FIO DE COBRE,2,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-2f22dc10-4d2a-4243-9998-4bfeb14a7324
47,MÚSICO 1,FIO DE COBRE DESENCAPADO,BASE MADEIRA  10X20,2025,250.0,"  237,50 ",5% À VISTA/ 2 VEZES,DOBRADURAS FIO DE COBRE,2,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-d3311619-e80e-470b-9321-a0210dc1c95a
48,MÚSICO 2,FIO DE COBRE DESENCAPADO,BASE MADEIRA  10X20,2025,250.0,"  237,50 ",5% À VISTA/ 2 VEZES,DOBRADURAS FIO DE COBRE,2,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-748dbc57-0e05-406e-af54-e2871b7e4a65
49,4 CADEIRAS,FIO DE COBRE DESENCAPADO,BASE MADEIRA  10X20,2025,250.0,"  237,50 ",5% À VISTA/ 2 VEZES,DOBRADURAS FIO DE COBRE,2,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-c3efdbf5-5071-47ca-b677-7a6bcf1e4cf9
50,KOMBI 1,ACRÍLICA SOBRE TECIDO,P/M/G,2025,150.0,"  142,50 ","2 =2 50,00 / 3 = 400,00",CAMISAS,3,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-162d4333-ad82-4af5-a3cb-a21d09952f50
51,KOMBI 2,ACRÍLICA SOBRE TECIDO,P/M/G,2025,150.0,"  142,50 ","2 =2 50,00 / 3 = 400,00",CAMISAS,3,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-f3534acc-6e92-490c-bd49-e6a7171cbb7b
52,PORTAS JANELAS 1,ACRÍLICA SOBRE TECIDO,P/M/G,2025,150.0,"  142,50 ","2 =2 50,00 / 3 = 400,00",CAMISAS,3,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-59e5cb24-0def-4ae1-a339-49b486f7e09c
53,GRADIL SÉC. XIX,ACRÍLICA SOBRE TECIDO,P/M/G,2025,150.0,"  142,50 ","2 =2 50,00 / 3 = 400,00",CAMISAS,3,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-083b0035-c645-4261-a99d-ad7110ebcf8e
54,PENAS TROPICAIS,ACRÍLICA SOBRE TECIDO,P/M/G,2025,150.0,"  142,50 ","2 =2 50,00 / 3 = 400,00",CAMISAS,3,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-48dce339-e296-4be3-ac4a-63b3cf44d54e
55,JEEP,ACRÍLICA SOBRE TECIDO,P/M/G,2025,150.0,"  142,50 ","2 =2 50,00 / 3 = 400,00",CAMISAS,3,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-73ce5ae5-7172-444e-9ba4-eb8663876e4d
56,PORTAS JANELAS 2,ACRÍLICA SOBRE TECIDO,P/M/G,2025,150.0,"  142,50 ","2 =2 50,00 / 3 = 400,00",CAMISAS,3,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-da9586dc-60ac-4975-86d9-b4539ac6eb80
57,BIKE 1,ACRÍLICA SOBRE TECIDO,P/M/G,2025,150.0,"  142,50 ","2 =2 50,00 / 3 = 400,00",CAMISAS,3,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-5c5feb14-5e85-43d7-8764-b34bde51c421
58,BIKE 2,ACRÍLICA SOBRE TECIDO,P/M/G,2025,150.0,"  142,50 ","2 =2 50,00 / 3 = 400,00",CAMISAS,3,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-54d516a4-8fe8-42b7-a2df-c418b82f83c6
59,LAMBRETTA,ACRÍLICA SOBRE TECIDO,P/M/G,2025,150.0,"  142,50 ","2 =2 50,00 / 3 = 400,00",CAMISAS,3,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-3d635f67-543c-4f15-bd32-3a01fc068c67
60,CHEVROLET,ACRÍLICA SOBRE TECIDO,P/M/G,2025,150.0,"  142,50 ","2 =2 50,00 / 3 = 400,00",CAMISAS,3,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-bd5ed4a5-7da9-42ff-9be7-7bed0548d819
61,KOMBI 3,ACRÍLICA SOBRE TECIDO,P/M/G,2025,150.0,"  142,50 ","2 =2 50,00 / 3 = 400,00",CAMISAS,3,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-a1abd667-0d79-4a51-9d1a-126f616202df
62,GORDINI,ACRÍLICA SOBRE TECIDO,P/M/G,2025,150.0,"  142,50 ","2 =2 50,00 / 3 = 400,00",CAMISAS,3,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-b4a4006b-9b3f-4d42-b552-9a1391042e94
